-0.3004,0.77426,1.09602,-1.75085,0.13178
0.87884,-0.09641,-0.2366,-0.39273,0.88357
-0.01813,-0.62923,-0.91878,0.41048,0.76457
0.41933,-0.78708,-2.59749,-0.46573,0.78066
-0.38043,0.68063,-1.87795,1.11722,0.26442
-0.73993,1.96289,-0.95002,-0.12267,-0.51926
0.15555,1.86556,1.19471,-0.75134,-0.93523
0.8684,-0.67296,2.55949,-2.22923,-0.14695
0.35338,-0.96862,1.71681,-2.95756,-0.98966
0.83443,-2.55393,0.8217,-1.98603,0.93118
1.4296,-1.16828,-0.79323,0.47193,-0.28326
0.07534,-0.41512,-1.39596,1.44861,0.36735
0.10111,1.62158,-2.1892,-0.51446,-0.09334
0.06615,3.71971,-1.88539,-0.44819,-0.84239
-0.0875,0.38317,-0.37346,-0.7724,0.56076
-0.08215,-0.81977,0.73882,-1.61434,0.69084
0.00871,-1.87617,-0.25204,-0.67806,0.15321
0.79793,-2.94272,-0.03496,0.62487,0.92961
-0.66162,-1.88305,-0.2602,-0.6852,0.65086
-0.11142,-0.51145,0.9146,-0.79586,-0.25218
-0.80264,0.3899,0.25681,-0.37301,0.66584
1.08125,2.57874,-1.02305,-1.64645,0.29624
0.23002,3.14732,-0.96345,0.28859,-0.16786
1.09539,-0.20938,-3.14951,0.73757,-0.91408
1.36878,-1.37905,-1.35439,-0.03029,0.57312
0.00375,-1.77457,0.16865,-1.39947,1.16484
-0.18146,-1.54423,1.26097,-1.22265,0.47022
0.64653,0.48836,2.41325,-2.05033,0.69806
-0.15063,1.28096,1.22082,-1.15328,0.47405
0.21082,2.02362,-0.30287,-0.92784,-1.07574
0.49912,-0.49962,-1.72085,1.52882,-0.01545
0.27244,-0.64112,-1.95788,0.11127,-0.23394
0.49984,-0.25243,-1.18509,-0.19042,1.38821
-2.1844,-0.47425,1.16873,2.59767,-1.63841
